Date|Time|Lat|Lng|Weather|Nautical_Twilight
2/2/19|11:47 AM|35.75761598|-78.73308361|CLEAR|DAYLIGHT
2/3/19|2:41:29 PM|35.82411728|-78.82361359|CLEAR|DAYLIGHT
2/7/19|3:33:02 PM|35.82203952|-78.76690479|CLEAR|DAYLIGHT
2/7/19|6:14:35 PM|35.65487545|-78.92573175|CLEAR|DUSK
2/14/19|5:36:21 PM|35.82917636|-78.88422148|CLOUDY|DUSK
2/14/19|7:42:30 AM|35.78230304|-78.84818662|CLEAR|DAYLIGHT
2/15/19|5:10:28 PM|35.73789038|-78.77946603|CLOUDY|DUSK
2/16/19|10:06 AM|35.73069493|-78.54396263|RAIN|DAYLIGHT
2/19/19|12:52 AM|35.82914574|-78.88418316|RAIN|DARK - LIGHTED ROADWAY
2/24/19|3:17:44 PM|35.79554014|-78.84993551|CLOUDY|DARK - LIGHTED ROADWAY
2/26/19|8:33:48 AM|35.84027597|-78.9048991|CLEAR|DAYLIGHT
3/13/19|5:32:22 PM|35.83301266|-78.880246|CLEAR|DAYLIGHT
3/15/19|2:05:26 PM|35.79149089|-78.85266924|CLEAR|DAYLIGHT
3/22/19|12:17 PM|35.75490826|-78.73025042|CLEAR|DAYLIGHT
3/22/19|12:52 PM|35.55389225|-78.71919949|CLEAR|DAYLIGHT
3/27/19|8:47:54 AM|35.83142761|-78.78012640000001|CLEAR|DAYLIGHT
7/14/19|11:15 PM|35.84985132|-78.79455874|CLEAR|DARK - ROADWAY NOT LIGHTED
7/22/19|1:27:19 PM|35.77081794|-78.83360121|CLEAR|DAYLIGHT
7/27/19|10:02 PM|35.81355091|-78.91830735|CLEAR|DAYLIGHT
7/29/19|1:01:10 PM|35.7367539|-78.7786444|CLEAR|DAYLIGHT
7/26/19|2:01:14 PM|35.7850915|-78.77862844|CLEAR|DAYLIGHT
7/30/19|8:34:04 AM|35.80858403|-78.91336551|CLEAR|DAYLIGHT
10/12/19|9:51:28 AM|35.82594054|-78.77038373|CLEAR|DAYLIGHT
10/11/19|1:13:40 PM|35.84259019|-78.88795381|CLEAR|DAYLIGHT
10/14/19|11:45 AM|35.79262483|-78.86265883|CLEAR|DAYLIGHT
10/18/19|1:02:48 AM|35.84568125|-78.80123889|CLEAR|DARK - LIGHTED ROADWAY
10/21/19|7:42:12 AM|35.73484478|-78.79776199|CLEAR|DAWN
10/24/19|7:53:40 AM|35.78673574|-78.76249387|CLEAR|DAYLIGHT
3/1/19|5:35:34 PM|35.82970814|-78.7685142|RAIN|DUSK
3/12/19|1:27:07 PM|35.73641568|-78.82110438|CLEAR|DAYLIGHT
3/15/19|8:41:09 AM|35.86082452|-78.89378055|RAIN|DAYLIGHT
3/16/19|3:32:04 PM|35.78117535|-78.78041383|CLEAR|DAYLIGHT
3/19/19|4:51:39 PM|35.88916238|-78.89578575|CLEAR|DAYLIGHT
3/20/19|9:57:43 AM|35.76575157|-78.76098841|CLOUDY|DAYLIGHT
3/20/19|5:08:43 PM|35.74511963|-78.76378031|CLEAR|DAYLIGHT
3/21/19|10:10 AM|35.74210116|-78.88001951|RAIN|DAYLIGHT
3/29/19|12:45 PM|35.60195368|-78.79930456|CLEAR|DAYLIGHT
3/28/19|8:44:24 PM|35.89295112|-78.91885164|CLEAR|DARK - ROADWAY NOT LIGHTED
3/28/19|4:31:32 PM|35.82890508|-78.79083997|CLEAR|DAYLIGHT
4/4/19|12:34 PM|35.75068704|-78.73363307|CLEAR|DAYLIGHT
1/7/19|9:34:55 PM|35.75141976|-78.74909401|CLEAR|DARK - LIGHTED ROADWAY
1/10/19|1:17:50 PM|35.73789038|-78.77946603|CLEAR|DAYLIGHT
1/8/19|3:40:28 AM|35.7902276|-78.77203916|CLEAR|DARK - LIGHTED ROADWAY
1/14/19|2:18:38 PM|35.87107377|-78.64511625|CLEAR|DAYLIGHT
1/15/19|4:52:15 PM|35.76156993|-78.78180144|CLEAR|DAYLIGHT
1/17/19|5:40:48 PM|35.88916238|-78.89578575|CLOUDY|DUSK
1/22/19|1:18:10 PM|35.73671729|-78.77861754|CLEAR|DAYLIGHT
1/23/19|8:08:43 AM|35.58383268|-78.67123514|CLOUDY|DAYLIGHT
